placeOfUse,entryAmount,memo,category
투썸플레이스 홍대점,54541,영화 관람,카페
서울교통공사,92523,아메리카노,교통
이마트 용산점,131864,스낵 구입,마트
하나로마트 양재,147111,도서 구매,마트
스타벅스 강남역점,51254,도서 구매,카페
카페베네 종로점,134582,점심 식사,카페
T맵택시,43231,도서 구매,교통
메가커피 신촌점,124079,식재료 구매,카페
올리브영 강남점,114709,화장품 구매,쇼핑
맥도날드 신림점,65105,점심 식사,식비
알라딘 중고서점 홍대,45313,식재료 구매,여가/취미
CU 신림점,116175,편의점 간식,편의점
쿠팡,121219,영화 관람,쇼핑
GS칼텍스 강남대로점,125776,스낵 구입,교통
메가박스 강남,109967,카페라떼,여가/취미
메가커피 신촌점,4675,식재료 구매,카페
맘스터치 사당점,82130,옷 구매,식비
현대백화점 무역센터점,32781,식재료 구매,쇼핑
세븐일레븐 홍대점,142308,주유,편의점
현대백화점 무역센터점,102179,편의점 간식,쇼핑
코스트코 양재점,138479,치킨 세트,마트
설빙 신촌점,20013,아메리카노,카페
카카오택시,30875,화장품 구매,교통
배민1,140878,치킨 세트,식비
쿠팡,81689,도서 구매,쇼핑
맥도날드 신림점,61801,편의점 간식,식비
배민1,108031,점심 식사,식비
CGV 압구정,130237,지하철 요금,여가/취미
카카오택시,116356,영화 관람,교통
이디야커피 잠실점,21263,옷 구매,카페
투썸플레이스 홍대점,87572,화장품 구매,카페
이마트 용산점,85869,편의점 간식,마트
버거킹 강남점,100156,티켓 구매,식비
bhc치킨 대치점,105831,지하철 요금,식비
맥도날드 신림점,9641,저녁 배달,식비
던킨도너츠 강남역,146512,카페라떼,카페
스타벅스 강남역점,75685,생활용품 구매,카페
GS칼텍스 강남대로점,32626,화장품 구매,교통
세븐일레븐 홍대점,109296,도서 구매,편의점
G마켓,70664,티켓 구매,쇼핑
설빙 신촌점,31144,식재료 구매,카페
던킨도너츠 강남역,54567,스낵 구입,카페
쿠팡이츠,69435,지하철 요금,식비
이디야커피 잠실점,99731,옷 구매,카페
쿠팡,56779,택시요금,쇼핑
현대백화점 무역센터점,96219,생활용품 구매,쇼핑
현대백화점 무역센터점,41625,주말 장보기,쇼핑
맘스터치 사당점,112343,치킨 세트,식비
맘스터치 사당점,41670,카페라떼,식비
하나로마트 양재,117105,화장품 구매,마트
하나로마트 양재,93845,티켓 구매,마트
이디야커피 잠실점,46546,지하철 요금,카페
카카오택시,87983,스낵 구입,교통
쿠팡,21949,티켓 구매,쇼핑
T맵택시,142560,옷 구매,교통
롯데시네마 월드타워,131812,주말 장보기,여가/취미
이마트 용산점,59170,옷 구매,마트
이마트 용산점,28546,주말 장보기,마트
ABC마트 강남점,56559,저녁 배달,쇼핑
카페베네 종로점,15157,생활용품 구매,카페
BBQ치킨 역삼점,84268,아메리카노,식비
맘스터치 사당점,103807,점심 식사,식비
이디야커피 잠실점,58614,주말 장보기,카페
던킨도너츠 강남역,110154,도서 구매,카페
알라딘 중고서점 홍대,107513,택시요금,여가/취미
G마켓,82619,도서 구매,쇼핑
서울교통공사,86222,카페라떼,교통
GS칼텍스 강남대로점,138128,영화 관람,교통
알라딘 중고서점 홍대,19729,치킨 세트,여가/취미
이마트 용산점,147237,치킨 세트,마트
메가박스 강남,116436,도서 구매,여가/취미
T맵택시,7633,식재료 구매,교통
올리브영 강남점,79446,도서 구매,쇼핑
스타벅스 강남역점,141700,택시요금,카페
쿠팡이츠,88611,식재료 구매,식비
이디야커피 잠실점,74999,카페라떼,카페
CGV 압구정,133727,택시요금,여가/취미
하이패스,90855,스낵 구입,교통
메가박스 강남,89250,점심 식사,여가/취미
스타벅스 강남역점,98026,영화 관람,카페
설빙 신촌점,91887,주말 장보기,카페
맥도날드 신림점,91541,생활용품 구매,식비
다이소 신촌점,51040,도서 구매,생활
교촌치킨 서초점,58646,택시요금,식비
메가커피 신촌점,139049,옷 구매,카페
교보문고 광화문점,5652,편의점 간식,여가/취미
던킨도너츠 강남역,69371,식재료 구매,카페
이디야커피 잠실점,3431,아메리카노,카페
ABC마트 강남점,96224,주유,쇼핑
세븐일레븐 홍대점,39993,치킨 세트,편의점
이마트 용산점,75499,점심 식사,마트
코스트코 양재점,80688,치킨 세트,마트
bhc치킨 대치점,116604,옷 구매,식비
코스트코 양재점,118895,스낵 구입,마트
이마트 용산점,43776,화장품 구매,마트
교보문고 광화문점,29352,도서 구매,여가/취미
BBQ치킨 역삼점,106985,아메리카노,식비
스타벅스 강남역점,4646,티켓 구매,카페
카카오택시,54438,카페라떼,교통
이디야커피 잠실점,60395,카페라떼,카페
교촌치킨 서초점,65269,저녁 배달,식비
GS25 강남역점,15037,스낵 구입,편의점
YES24,83862,점심 식사,여가/취미
메가커피 신촌점,51054,치킨 세트,카페
이마트 용산점,64213,도서 구매,마트
설빙 신촌점,60622,편의점 간식,카페
쿠팡,143878,아메리카노,쇼핑
교보문고 광화문점,104551,영화 관람,여가/취미
이디야커피 잠실점,10840,식재료 구매,카페
투썸플레이스 홍대점,121033,주말 장보기,카페
버거킹 강남점,141504,생활용품 구매,식비
bhc치킨 대치점,105076,저녁 배달,식비
이마트 용산점,17994,영화 관람,마트
롯데시네마 월드타워,13152,옷 구매,여가/취미
이디야커피 잠실점,140885,지하철 요금,카페
홈플러스 강서점,38554,카페라떼,마트
설빙 신촌점,45451,카페라떼,카페
카카오택시,129558,카페라떼,교통
던킨도너츠 강남역,84695,스낵 구입,카페
CGV 압구정,2009,택시요금,여가/취미
미스터피자 홍대점,79969,옷 구매,식비
투썸플레이스 홍대점,111873,티켓 구매,카페
ABC마트 강남점,140818,스낵 구입,쇼핑
T맵택시,109823,편의점 간식,교통
ABC마트 강남점,87230,티켓 구매,쇼핑
설빙 신촌점,50346,지하철 요금,카페
롯데백화점 본점,35269,도서 구매,쇼핑
버거킹 강남점,121926,편의점 간식,식비
배민1,81569,화장품 구매,식비
알라딘 중고서점 홍대,52323,저녁 배달,여가/취미
쿠팡이츠,145521,영화 관람,식비
배민1,56467,저녁 배달,식비
세븐일레븐 홍대점,147835,티켓 구매,편의점
CGV 압구정,39762,화장품 구매,여가/취미
이디야커피 잠실점,1837,저녁 배달,카페
맘스터치 사당점,10517,택시요금,식비
세븐일레븐 홍대점,146265,점심 식사,편의점
맥도날드 신림점,145341,점심 식사,식비
11번가,144852,화장품 구매,쇼핑
GS칼텍스 강남대로점,90821,옷 구매,교통
세븐일레븐 홍대점,128666,주말 장보기,편의점
서울교통공사,131795,점심 식사,교통
쿠팡이츠,41162,도서 구매,식비
교보문고 광화문점,140927,치킨 세트,여가/취미
교보문고 광화문점,68322,저녁 배달,여가/취미
이마트 용산점,66686,주유,마트
G마켓,58433,점심 식사,쇼핑
투썸플레이스 홍대점,138968,저녁 배달,카페
롯데시네마 월드타워,17543,스낵 구입,여가/취미
카카오택시,128979,옷 구매,교통
GS칼텍스 강남대로점,110760,생활용품 구매,교통
GS25 강남역점,145041,스낵 구입,편의점
하이패스,50334,택시요금,교통
올리브영 강남점,130841,식재료 구매,쇼핑
파파존스 강남점,105697,지하철 요금,식비
11번가,22306,주유,쇼핑
요기요,61981,화장품 구매,식비
이마트 용산점,90113,아메리카노,마트
BBQ치킨 역삼점,142874,지하철 요금,식비
미스터피자 홍대점,71409,편의점 간식,식비
홈플러스 강서점,20112,택시요금,마트
세븐일레븐 홍대점,73112,아메리카노,편의점
쿠팡,45051,카페라떼,쇼핑
던킨도너츠 강남역,66515,택시요금,카페
이마트 용산점,80191,주유,마트
카카오택시,69525,영화 관람,교통
11번가,139247,식재료 구매,쇼핑
이디야커피 잠실점,130338,주유,카페
요기요,138178,생활용품 구매,식비
코스트코 양재점,27243,저녁 배달,마트
현대백화점 무역센터점,85335,영화 관람,쇼핑
GS25 강남역점,77654,주유,편의점
맥도날드 신림점,97519,주말 장보기,식비
미스터피자 홍대점,54750,카페라떼,식비
교촌치킨 서초점,20659,아메리카노,식비
던킨도너츠 강남역,147941,주말 장보기,카페
ABC마트 강남점,102229,지하철 요금,쇼핑
메가박스 강남,148518,카페라떼,여가/취미
이마트 용산점,104135,카페라떼,마트
맘스터치 사당점,15666,저녁 배달,식비
카카오택시,111775,티켓 구매,교통
CU 신림점,114675,주말 장보기,편의점
SK주유소 방배점,93442,생활용품 구매,교통
하나로마트 양재,36121,도서 구매,마트
11번가,104672,화장품 구매,쇼핑
미스터피자 홍대점,70040,치킨 세트,식비
이디야커피 잠실점,26116,도서 구매,카페
하나로마트 양재,24945,옷 구매,마트
GS25 강남역점,46001,영화 관람,편의점
쿠팡,125855,편의점 간식,쇼핑
코스트코 양재점,32853,지하철 요금,마트
던킨도너츠 강남역,35951,저녁 배달,카페
코스트코 양재점,71445,옷 구매,마트
던킨도너츠 강남역,57690,치킨 세트,카페
쿠팡,142658,카페라떼,쇼핑
하이패스,134873,스낵 구입,교통
CGV 압구정,85783,점심 식사,여가/취미
메가커피 신촌점,25679,티켓 구매,카페
세븐일레븐 홍대점,145966,화장품 구매,편의점
ABC마트 강남점,117643,저녁 배달,쇼핑
미스터피자 홍대점,130501,지하철 요금,식비
SK주유소 방배점,123917,영화 관람,교통
이마트 용산점,128447,저녁 배달,마트
G마켓,11454,지하철 요금,쇼핑
맘스터치 사당점,10163,스낵 구입,식비
CGV 압구정,73885,점심 식사,여가/취미
메가커피 신촌점,26408,주유,카페
교촌치킨 서초점,36537,주유,식비
G마켓,120417,옷 구매,쇼핑
쿠팡이츠,94903,주유,식비
배민1,35331,점심 식사,식비
BBQ치킨 역삼점,142524,티켓 구매,식비
하이패스,102524,카페라떼,교통
설빙 신촌점,59024,도서 구매,카페
SK주유소 방배점,124267,주말 장보기,교통
메가박스 강남,40482,지하철 요금,여가/취미
bhc치킨 대치점,8589,점심 식사,식비
CGV 압구정,3150,주말 장보기,여가/취미
롯데시네마 월드타워,121444,택시요금,여가/취미
스타벅스 강남역점,101297,영화 관람,카페
버거킹 강남점,144020,티켓 구매,식비
세븐일레븐 홍대점,32558,화장품 구매,편의점
bhc치킨 대치점,141528,영화 관람,식비
설빙 신촌점,47828,생활용품 구매,카페
던킨도너츠 강남역,11704,주말 장보기,카페
카페베네 종로점,104605,식재료 구매,카페
YES24,92322,점심 식사,여가/취미
쿠팡이츠,144417,지하철 요금,식비
G마켓,78172,카페라떼,쇼핑
요기요,109101,치킨 세트,식비
CU 신림점,71008,카페라떼,편의점
배민1,99876,편의점 간식,식비
파파존스 강남점,144357,스낵 구입,식비
메가커피 신촌점,44720,치킨 세트,카페
배민1,31515,주말 장보기,식비
YES24,118910,생활용품 구매,여가/취미
카페베네 종로점,50143,점심 식사,카페
세븐일레븐 홍대점,63801,스낵 구입,편의점
GS칼텍스 강남대로점,142378,치킨 세트,교통
GS칼텍스 강남대로점,145911,카페라떼,교통
서울교통공사,19899,지하철 요금,교통
서울교통공사,89129,카페라떼,교통
메가박스 강남,117691,택시요금,여가/취미
투썸플레이스 홍대점,19759,옷 구매,카페
하나로마트 양재,49530,식재료 구매,마트
맘스터치 사당점,63955,티켓 구매,식비
서울교통공사,43529,지하철 요금,교통
롯데백화점 본점,30270,택시요금,쇼핑
BBQ치킨 역삼점,146967,편의점 간식,식비
CGV 압구정,135036,영화 관람,여가/취미
CGV 압구정,148964,카페라떼,여가/취미
카페베네 종로점,56473,생활용품 구매,카페
롯데백화점 본점,117703,점심 식사,쇼핑
카카오택시,66818,스낵 구입,교통
BBQ치킨 역삼점,140397,편의점 간식,식비
설빙 신촌점,107827,편의점 간식,카페
파파존스 강남점,76480,지하철 요금,식비
미스터피자 홍대점,35999,아메리카노,식비
쿠팡,14003,영화 관람,쇼핑
교보문고 광화문점,101484,아메리카노,여가/취미
이마트 용산점,29852,지하철 요금,마트
스타벅스 강남역점,6062,옷 구매,카페
카페베네 종로점,9404,옷 구매,카페
CU 신림점,57826,치킨 세트,편의점
ABC마트 강남점,75593,지하철 요금,쇼핑
카페베네 종로점,25271,주유,카페
파파존스 강남점,71556,주유,식비
설빙 신촌점,126472,저녁 배달,카페
쿠팡이츠,92549,티켓 구매,식비
메가커피 신촌점,35381,카페라떼,카페
메가커피 신촌점,100912,아메리카노,카페
롯데백화점 본점,82109,영화 관람,쇼핑
CGV 압구정,6665,식재료 구매,여가/취미
롯데백화점 본점,65126,주말 장보기,쇼핑
메가커피 신촌점,74348,영화 관람,카페
알라딘 중고서점 홍대,117267,카페라떼,여가/취미
T맵택시,94837,지하철 요금,교통
롯데백화점 본점,68702,주유,쇼핑
다이소 신촌점,36904,택시요금,생활
GS칼텍스 강남대로점,14625,주말 장보기,교통
쿠팡이츠,36608,옷 구매,식비
이마트 용산점,135281,지하철 요금,마트
G마켓,13238,저녁 배달,쇼핑
카카오택시,79578,스낵 구입,교통
파파존스 강남점,61523,점심 식사,식비
교촌치킨 서초점,62832,편의점 간식,식비
롯데백화점 본점,28945,스낵 구입,쇼핑
던킨도너츠 강남역,64909,아메리카노,카페
서울교통공사,28820,점심 식사,교통
메가박스 강남,40667,저녁 배달,여가/취미
요기요,136829,영화 관람,식비
하나로마트 양재,11604,생활용품 구매,마트
메가박스 강남,127426,점심 식사,여가/취미
홈플러스 강서점,84703,편의점 간식,마트
bhc치킨 대치점,4122,아메리카노,식비
배민1,69056,생활용품 구매,식비
CU 신림점,7207,티켓 구매,편의점
롯데시네마 월드타워,102743,주유,여가/취미
쿠팡,6264,주말 장보기,쇼핑
요기요,62856,편의점 간식,식비
맥도날드 신림점,20956,지하철 요금,식비
다이소 신촌점,52914,화장품 구매,생활
파파존스 강남점,131757,생활용품 구매,식비
bhc치킨 대치점,83225,저녁 배달,식비
메가박스 강남,2039,지하철 요금,여가/취미
교보문고 광화문점,134300,주말 장보기,여가/취미
다이소 신촌점,114205,티켓 구매,생활
메가박스 강남,92973,스낵 구입,여가/취미
GS칼텍스 강남대로점,82831,옷 구매,교통
서울교통공사,108041,주유,교통
T맵택시,24777,카페라떼,교통
카카오택시,26303,주유,교통
bhc치킨 대치점,39339,편의점 간식,식비
현대백화점 무역센터점,87305,티켓 구매,쇼핑
요기요,96557,점심 식사,식비
bhc치킨 대치점,74352,영화 관람,식비
BBQ치킨 역삼점,13581,지하철 요금,식비
올리브영 강남점,53404,도서 구매,쇼핑
파파존스 강남점,39155,저녁 배달,식비
세븐일레븐 홍대점,14077,티켓 구매,편의점
설빙 신촌점,65652,아메리카노,카페
스타벅스 강남역점,105380,티켓 구매,카페
롯데시네마 월드타워,81212,주말 장보기,여가/취미
다이소 신촌점,52365,티켓 구매,생활
카페베네 종로점,80868,식재료 구매,카페
하이패스,126493,점심 식사,교통
올리브영 강남점,9144,치킨 세트,쇼핑
홈플러스 강서점,85561,주유,마트
11번가,146798,주말 장보기,쇼핑
던킨도너츠 강남역,100978,저녁 배달,카페
GS25 강남역점,9088,생활용품 구매,편의점
세븐일레븐 홍대점,35037,스낵 구입,편의점
미스터피자 홍대점,110032,치킨 세트,식비
카페베네 종로점,28224,화장품 구매,카페
ABC마트 강남점,129584,주유,쇼핑
CGV 압구정,42468,생활용품 구매,여가/취미
투썸플레이스 홍대점,115750,식재료 구매,카페
쿠팡이츠,68184,택시요금,식비
코스트코 양재점,55334,티켓 구매,마트
맘스터치 사당점,6531,주말 장보기,식비
현대백화점 무역센터점,37912,택시요금,쇼핑
11번가,71195,주말 장보기,쇼핑
교촌치킨 서초점,92490,아메리카노,식비
투썸플레이스 홍대점,54968,생활용품 구매,카페
SK주유소 방배점,11514,생활용품 구매,교통
이디야커피 잠실점,136492,택시요금,카페
올리브영 강남점,48883,영화 관람,쇼핑
GS칼텍스 강남대로점,138745,티켓 구매,교통
bhc치킨 대치점,46203,식재료 구매,식비
설빙 신촌점,79327,생활용품 구매,카페
파파존스 강남점,67027,아메리카노,식비
BBQ치킨 역삼점,51389,스낵 구입,식비
요기요,4993,지하철 요금,식비
YES24,149027,티켓 구매,여가/취미
메가박스 강남,75890,화장품 구매,여가/취미
bhc치킨 대치점,91067,아메리카노,식비
롯데백화점 본점,4252,영화 관람,쇼핑
현대백화점 무역센터점,121425,식재료 구매,쇼핑
서울교통공사,129493,지하철 요금,교통
BBQ치킨 역삼점,83178,아메리카노,식비
교보문고 광화문점,106346,영화 관람,여가/취미
G마켓,83761,영화 관람,쇼핑
알라딘 중고서점 홍대,110182,지하철 요금,여가/취미
ABC마트 강남점,59074,영화 관람,쇼핑
알라딘 중고서점 홍대,139960,주유,여가/취미
파파존스 강남점,116976,치킨 세트,식비
교촌치킨 서초점,34052,치킨 세트,식비
CGV 압구정,81018,저녁 배달,여가/취미
메가박스 강남,14828,생활용품 구매,여가/취미
버거킹 강남점,54255,생활용품 구매,식비
이마트 용산점,112547,생활용품 구매,마트
세븐일레븐 홍대점,5808,저녁 배달,편의점
현대백화점 무역센터점,104268,옷 구매,쇼핑
BBQ치킨 역삼점,80355,저녁 배달,식비
카카오택시,118740,식재료 구매,교통
메가커피 신촌점,117528,화장품 구매,카페
이마트 용산점,125406,영화 관람,마트
11번가,132463,생활용품 구매,쇼핑
홈플러스 강서점,102702,스낵 구입,마트
롯데시네마 월드타워,148785,영화 관람,여가/취미
버거킹 강남점,23443,식재료 구매,식비
bhc치킨 대치점,78769,치킨 세트,식비
다이소 신촌점,43410,주말 장보기,생활
YES24,111193,주유,여가/취미
하이패스,23546,스낵 구입,교통
11번가,102366,화장품 구매,쇼핑
미스터피자 홍대점,15788,도서 구매,식비
YES24,106625,아메리카노,여가/취미
미스터피자 홍대점,24735,주말 장보기,식비
T맵택시,68056,화장품 구매,교통
설빙 신촌점,65905,카페라떼,카페
메가커피 신촌점,110253,화장품 구매,카페
이디야커피 잠실점,90195,스낵 구입,카페
코스트코 양재점,17950,도서 구매,마트
T맵택시,82289,주유,교통
설빙 신촌점,13681,스낵 구입,카페
홈플러스 강서점,52220,카페라떼,마트
현대백화점 무역센터점,98752,스낵 구입,쇼핑
G마켓,16511,점심 식사,쇼핑
코스트코 양재점,119488,티켓 구매,마트
설빙 신촌점,99350,생활용품 구매,카페
11번가,125305,치킨 세트,쇼핑
하나로마트 양재,137374,편의점 간식,마트
ABC마트 강남점,3300,주유,쇼핑
CGV 압구정,138163,티켓 구매,여가/취미
교보문고 광화문점,108840,치킨 세트,여가/취미
교보문고 광화문점,97820,점심 식사,여가/취미
bhc치킨 대치점,1366,스낵 구입,식비
GS칼텍스 강남대로점,75081,주유,교통
쿠팡이츠,16898,치킨 세트,식비
CGV 압구정,48494,주말 장보기,여가/취미
하이패스,27814,옷 구매,교통
올리브영 강남점,116892,점심 식사,쇼핑
파파존스 강남점,37247,점심 식사,식비
버거킹 강남점,80347,화장품 구매,식비
홈플러스 강서점,73557,아메리카노,마트
배민1,79020,치킨 세트,식비
이마트 용산점,21482,택시요금,마트
T맵택시,45259,식재료 구매,교통
요기요,59030,주유,식비
GS25 강남역점,142754,카페라떼,편의점
스타벅스 강남역점,120145,택시요금,카페
롯데백화점 본점,110052,지하철 요금,쇼핑
카카오택시,115624,생활용품 구매,교통
ABC마트 강남점,79145,화장품 구매,쇼핑
GS칼텍스 강남대로점,98905,택시요금,교통
홈플러스 강서점,135142,아메리카노,마트
던킨도너츠 강남역,33968,영화 관람,카페
11번가,126066,편의점 간식,쇼핑
ABC마트 강남점,56249,옷 구매,쇼핑
요기요,128689,치킨 세트,식비
배민1,6479,택시요금,식비
하이패스,130990,편의점 간식,교통
카카오택시,143453,옷 구매,교통
홈플러스 강서점,15610,택시요금,마트
롯데백화점 본점,45707,영화 관람,쇼핑
현대백화점 무역센터점,6157,영화 관람,쇼핑
맘스터치 사당점,9053,주유,식비
하나로마트 양재,149408,스낵 구입,마트
맥도날드 신림점,122976,식재료 구매,식비
세븐일레븐 홍대점,51724,저녁 배달,편의점
배민1,22060,아메리카노,식비
설빙 신촌점,54498,도서 구매,카페
올리브영 강남점,113001,카페라떼,쇼핑
롯데백화점 본점,23197,카페라떼,쇼핑
다이소 신촌점,58707,스낵 구입,생활
G마켓,95740,아메리카노,쇼핑
요기요,62180,도서 구매,식비
이디야커피 잠실점,137532,티켓 구매,카페
GS칼텍스 강남대로점,80715,스낵 구입,교통
ABC마트 강남점,15970,화장품 구매,쇼핑
파파존스 강남점,30091,생활용품 구매,식비
현대백화점 무역센터점,113947,화장품 구매,쇼핑
메가박스 강남,65679,도서 구매,여가/취미
스타벅스 강남역점,3287,편의점 간식,카페
카카오택시,117722,카페라떼,교통
교촌치킨 서초점,73679,택시요금,식비
설빙 신촌점,72071,화장품 구매,카페
카페베네 종로점,137426,옷 구매,카페
CGV 압구정,28667,도서 구매,여가/취미
버거킹 강남점,134785,점심 식사,식비
서울교통공사,99315,택시요금,교통
맥도날드 신림점,120416,편의점 간식,식비
스타벅스 강남역점,82154,편의점 간식,카페
던킨도너츠 강남역,107010,도서 구매,카페
버거킹 강남점,135179,점심 식사,식비
맘스터치 사당점,16128,스낵 구입,식비
T맵택시,45225,화장품 구매,교통
배민1,115998,지하철 요금,식비
코스트코 양재점,23239,화장품 구매,마트
스타벅스 강남역점,4189,식재료 구매,카페
CGV 압구정,22425,저녁 배달,여가/취미
세븐일레븐 홍대점,8737,편의점 간식,편의점
코스트코 양재점,27697,영화 관람,마트
세븐일레븐 홍대점,30214,저녁 배달,편의점
현대백화점 무역센터점,71084,식재료 구매,쇼핑
롯데백화점 본점,123193,주말 장보기,쇼핑
이디야커피 잠실점,56853,주유,카페
메가박스 강남,128600,지하철 요금,여가/취미
쿠팡이츠,17124,식재료 구매,식비
미스터피자 홍대점,129624,저녁 배달,식비
BBQ치킨 역삼점,4136,식재료 구매,식비
G마켓,4168,옷 구매,쇼핑
세븐일레븐 홍대점,143573,영화 관람,편의점
하나로마트 양재,117928,지하철 요금,마트
bhc치킨 대치점,88566,저녁 배달,식비
파파존스 강남점,15220,화장품 구매,식비
다이소 신촌점,24764,화장품 구매,생활
버거킹 강남점,101287,택시요금,식비
CGV 압구정,36289,점심 식사,여가/취미
투썸플레이스 홍대점,29871,티켓 구매,카페
배민1,68541,저녁 배달,식비
YES24,74497,스낵 구입,여가/취미
올리브영 강남점,47124,카페라떼,쇼핑
CU 신림점,117963,주유,편의점
카카오택시,53714,주유,교통
카카오택시,81779,점심 식사,교통
세븐일레븐 홍대점,8542,점심 식사,편의점
홈플러스 강서점,102953,도서 구매,마트
세븐일레븐 홍대점,9908,화장품 구매,편의점
쿠팡,130971,영화 관람,쇼핑
홈플러스 강서점,66017,아메리카노,마트
코스트코 양재점,96635,아메리카노,마트
맥도날드 신림점,122073,저녁 배달,식비
쿠팡이츠,88362,카페라떼,식비
현대백화점 무역센터점,88071,주유,쇼핑
CGV 압구정,65911,옷 구매,여가/취미
서울교통공사,122098,도서 구매,교통
버거킹 강남점,85974,치킨 세트,식비
설빙 신촌점,41846,카페라떼,카페
파파존스 강남점,19182,생활용품 구매,식비
11번가,29344,티켓 구매,쇼핑
파파존스 강남점,133726,스낵 구입,식비
이디야커피 잠실점,47598,화장품 구매,카페
세븐일레븐 홍대점,2596,주말 장보기,편의점
GS칼텍스 강남대로점,45978,지하철 요금,교통
알라딘 중고서점 홍대,44950,지하철 요금,여가/취미
알라딘 중고서점 홍대,147506,티켓 구매,여가/취미
요기요,63398,저녁 배달,식비
이디야커피 잠실점,45143,도서 구매,카페
G마켓,32330,저녁 배달,쇼핑
카페베네 종로점,38281,옷 구매,카페
CU 신림점,48742,카페라떼,편의점
서울교통공사,88214,티켓 구매,교통
현대백화점 무역센터점,34258,치킨 세트,쇼핑
현대백화점 무역센터점,80160,택시요금,쇼핑
메가박스 강남,70493,택시요금,여가/취미
홈플러스 강서점,44481,편의점 간식,마트
이디야커피 잠실점,55613,생활용품 구매,카페
세븐일레븐 홍대점,93462,지하철 요금,편의점
메가커피 신촌점,39501,스낵 구입,카페
bhc치킨 대치점,119707,카페라떼,식비
투썸플레이스 홍대점,104090,아메리카노,카페
교촌치킨 서초점,144075,저녁 배달,식비
쿠팡,118297,식재료 구매,쇼핑
롯데백화점 본점,45647,화장품 구매,쇼핑
CU 신림점,38530,저녁 배달,편의점
세븐일레븐 홍대점,104905,점심 식사,편의점
ABC마트 강남점,39700,지하철 요금,쇼핑
BBQ치킨 역삼점,10093,영화 관람,식비
교보문고 광화문점,56499,영화 관람,여가/취미
이디야커피 잠실점,82420,점심 식사,카페
서울교통공사,130335,편의점 간식,교통
롯데백화점 본점,134591,치킨 세트,쇼핑
YES24,105037,식재료 구매,여가/취미
배민1,130080,주유,식비
세븐일레븐 홍대점,132645,화장품 구매,편의점
하나로마트 양재,93032,화장품 구매,마트
코스트코 양재점,120374,저녁 배달,마트
롯데백화점 본점,136109,생활용품 구매,쇼핑
던킨도너츠 강남역,101179,점심 식사,카페
투썸플레이스 홍대점,61291,지하철 요금,카페
YES24,87015,스낵 구입,여가/취미
알라딘 중고서점 홍대,30590,주유,여가/취미
파파존스 강남점,48518,택시요금,식비
메가박스 강남,134077,식재료 구매,여가/취미
카카오택시,113040,아메리카노,교통
쿠팡,147858,치킨 세트,쇼핑
메가박스 강남,87384,점심 식사,여가/취미
GS칼텍스 강남대로점,135206,편의점 간식,교통
ABC마트 강남점,54451,편의점 간식,쇼핑
배민1,45202,치킨 세트,식비
설빙 신촌점,114115,저녁 배달,카페
코스트코 양재점,54077,주말 장보기,마트
CU 신림점,1562,편의점 간식,편의점
G마켓,65630,스낵 구입,쇼핑
홈플러스 강서점,51627,도서 구매,마트
하이패스,55604,주유,교통
T맵택시,85015,저녁 배달,교통
CU 신림점,110825,저녁 배달,편의점
홈플러스 강서점,19830,티켓 구매,마트
롯데백화점 본점,17971,생활용품 구매,쇼핑
G마켓,114622,옷 구매,쇼핑
GS25 강남역점,79217,생활용품 구매,편의점
YES24,117453,스낵 구입,여가/취미
요기요,30236,편의점 간식,식비
메가박스 강남,79902,카페라떼,여가/취미
GS칼텍스 강남대로점,31529,편의점 간식,교통
11번가,124364,생활용품 구매,쇼핑
CU 신림점,48637,생활용품 구매,편의점
맥도날드 신림점,20619,영화 관람,식비
코스트코 양재점,145254,스낵 구입,마트
CGV 압구정,63481,지하철 요금,여가/취미
투썸플레이스 홍대점,40661,도서 구매,카페
다이소 신촌점,96599,저녁 배달,생활
쿠팡,129478,스낵 구입,쇼핑
파파존스 강남점,54396,스낵 구입,식비
CU 신림점,127391,택시요금,편의점
ABC마트 강남점,121412,식재료 구매,쇼핑
BBQ치킨 역삼점,81539,저녁 배달,식비
교촌치킨 서초점,19346,생활용품 구매,식비
하이패스,119205,점심 식사,교통
맘스터치 사당점,25764,주유,식비
홈플러스 강서점,92352,아메리카노,마트
맥도날드 신림점,57765,택시요금,식비
하나로마트 양재,93686,택시요금,마트
교촌치킨 서초점,19388,화장품 구매,식비
ABC마트 강남점,50384,저녁 배달,쇼핑
롯데시네마 월드타워,36465,아메리카노,여가/취미
메가박스 강남,2776,카페라떼,여가/취미
GS칼텍스 강남대로점,132955,도서 구매,교통
ABC마트 강남점,53835,아메리카노,쇼핑
카카오택시,111661,스낵 구입,교통
쿠팡,47819,택시요금,쇼핑
던킨도너츠 강남역,147850,주유,카페
맥도날드 신림점,47873,화장품 구매,식비
롯데백화점 본점,117293,주유,쇼핑
파파존스 강남점,23095,도서 구매,식비
GS25 강남역점,136898,카페라떼,편의점
GS25 강남역점,28496,티켓 구매,편의점
교촌치킨 서초점,6928,치킨 세트,식비
버거킹 강남점,55598,점심 식사,식비
하나로마트 양재,36326,편의점 간식,마트
CGV 압구정,82554,아메리카노,여가/취미
하이패스,26459,지하철 요금,교통
G마켓,111089,치킨 세트,쇼핑
하이패스,41253,저녁 배달,교통
GS25 강남역점,81881,카페라떼,편의점
ABC마트 강남점,100888,카페라떼,쇼핑
홈플러스 강서점,105126,저녁 배달,마트
맘스터치 사당점,45046,치킨 세트,식비
